contract_decimals,contract_name,contract_ticker_symbol,contract_address,supports_erc,logo_url,quote_rate,rank
18,"TMC Token","TMC","0x1c153badb7e54abcdcb65f0a09fcd6f10de36aa3",,"https://logos.covalenthq.com/tokens/0x1c153badb7e54abcdcb65f0a09fcd6f10de36aa3.png","0.0044752066",10000
18,"JasmyCoin","JASMY","0x7420b4b9a0110cdc71fb720908340c03f9bc03ec",,"https://logos.covalenthq.com/tokens/0x7420b4b9a0110cdc71fb720908340c03f9bc03ec.png","1.3809435",10000
9,"Shiba Cosmos","SHIBCO","0xc5c43ad81e6c76eaa1f2dd92cb6a11ff6b6d09ea",,"https://logos.covalenthq.com/tokens/0xc5c43ad81e6c76eaa1f2dd92cb6a11ff6b6d09ea.png",0,10000
18,"CC Token","CC","0xb7fbff4ce5200215c690cc95855e5d6c5236ee9f",,"https://logos.covalenthq.com/tokens/0xb7fbff4ce5200215c690cc95855e5d6c5236ee9f.png","0.53694564",10000
18,"AurusGOLD","AWG","0x696acc2de564b48682d71d0847b3632f87c9a402",,"https://logos.covalenthq.com/tokens/0x696acc2de564b48682d71d0847b3632f87c9a402.png","61.64785",10000
18,"WPPTOKEN","WPP","0x056dd20b01799e9c1952c7c9a5ff4409a6110085",,"https://logos.covalenthq.com/tokens/0x056dd20b01799e9c1952c7c9a5ff4409a6110085.png","0.0062637064",10000
8,"Sportsplex Token","SPX","0x6372504efc58151644d5b69210c7bbead43918b0",,"https://logos.covalenthq.com/tokens/0x6372504efc58151644d5b69210c7bbead43918b0.png","0.113166146",10000
18,"YFMoonshot","YFMS","0xfef3bef71a5eb97e097039038776fd967ae5b106",,"https://logos.covalenthq.com/tokens/0xfef3bef71a5eb97e097039038776fd967ae5b106.png","10.863159",10000
18,"Joos Token","JOOS","0x05f9abf4b0c5661e83b92c056a8791d5ccd7ca52",,"https://logos.covalenthq.com/tokens/0x05f9abf4b0c5661e83b92c056a8791d5ccd7ca52.png","0.001982386",10000
18,"Cover Protocol Governance Token","COVER","0x4688a8b1f292fdab17e9a90c8bc379dc1dbd8713",,"https://logos.covalenthq.com/tokens/0x4688a8b1f292fdab17e9a90c8bc379dc1dbd8713.png","513.9444",10000
18,"Greenheart Punt","PUNT","0x6f3bb1febc415183dec801d78b1f92eda200fe3e",,"https://logos.covalenthq.com/tokens/0x6f3bb1febc415183dec801d78b1f92eda200fe3e.png","0.08823794",10000
18,"GazeTV","GAZE","0xd1e06952708771f71e6dd18f06ee418f6e8fc564",,"https://logos.covalenthq.com/tokens/0xd1e06952708771f71e6dd18f06ee418f6e8fc564.png","0.0032723215",10000
7,"Smart Trade Coin","TRADE","0x40e45890dff79e7d533797d964e64a2c0121f49a",,"https://logos.covalenthq.com/tokens/0x40e45890dff79e7d533797d964e64a2c0121f49a.png","0.031860624",10000
18,"Hedge Tech Governance","HTG","0xbff89386d062c6040ed1955e180c87dd00bb71af",,"https://logos.covalenthq.com/tokens/0xbff89386d062c6040ed1955e180c87dd00bb71af.png","0.6829537",10000
18,"BitNautic Token","BTNT","0xd9964e1306dda055f5284c52048712c35ddb61fd",,"https://logos.covalenthq.com/tokens/0xd9964e1306dda055f5284c52048712c35ddb61fd.png","0.04906504",10000
18,"BKEX Token","BK","0xd0bd12a8d5ebca1e2fa46da59f1993ec51c3d75c",,"https://logos.covalenthq.com/tokens/0xd0bd12a8d5ebca1e2fa46da59f1993ec51c3d75c.png","0.20140408",10000
8,"Winners Token","WNS","0xbc19f228a2637b7b03205ab5753df50f545d667d",,"https://logos.covalenthq.com/tokens/0xbc19f228a2637b7b03205ab5753df50f545d667d.png","5.9352875",10000
18,"Danat Coin","DNC","0x0fbe9cc858d7ad6e246fe9d01aed22abd2a66f0b",,"https://logos.covalenthq.com/tokens/0x0fbe9cc858d7ad6e246fe9d01aed22abd2a66f0b.png","0.16895784",10000
18,"Tea Token","TEA","0x5dced3c2fab61e21b25177c6050d3f166f696110",,"https://logos.covalenthq.com/tokens/0x5dced3c2fab61e21b25177c6050d3f166f696110.png","0.25759146",10000
18,"Consentium Coin","CSM","0xd8698a985b89650d0a70f99ad2909bd0c0b4b51c",,"https://logos.covalenthq.com/tokens/0xd8698a985b89650d0a70f99ad2909bd0c0b4b51c.png","0.0010841792",10000
18,"BAB","BAB","0xc36824905dff2eaaee7ecc09fcc63abc0af5abc5",,"https://logos.covalenthq.com/tokens/0xc36824905dff2eaaee7ecc09fcc63abc0af5abc5.png","0.031516377",10000
18,"LOCK Token","LOCK","0xb9464ef80880c5aea54c7324c0b8dd6ca6d05a90",,"https://logos.covalenthq.com/tokens/0xb9464ef80880c5aea54c7324c0b8dd6ca6d05a90.png","0.34424666",10000
18,"BNT Smart Token Relay","ETHBNT","0xb1cd6e4153b2a390cf00a6556b0fc1458c4a5533",,"https://logos.covalenthq.com/tokens/0xb1cd6e4153b2a390cf00a6556b0fc1458c4a5533.png","3.5433664",10000
8,"QuickX Protocol","QCX","0xf9e5af7b42d31d51677c75bbbd37c1986ec79aee",,"https://logos.covalenthq.com/tokens/0xf9e5af7b42d31d51677c75bbbd37c1986ec79aee.png","0.02891672",10000
8,"IzerBlack","IZB","0x11e0b97730a67e6dfb8a917ce9a464bf6fb1abe0",,"https://logos.covalenthq.com/tokens/0x11e0b97730a67e6dfb8a917ce9a464bf6fb1abe0.png","0.0003956858",10000
